direction,beam,length_penalty,bucket,n,bleu,chrf
zh2vi,1,0.8,all,300,21.628,40.675
zh2vi,1,0.8,short,118,11.246,31.21
zh2vi,1,0.8,medium,119,23.726,44.423
zh2vi,1,0.8,long,63,20.846,40.624
zh2vi,1,0.9,all,300,21.628,40.675
zh2vi,1,0.9,short,118,11.246,31.21
zh2vi,1,0.9,medium,119,23.726,44.423
zh2vi,1,0.9,long,63,20.846,40.624
zh2vi,1,1.0,all,300,21.628,40.675
zh2vi,1,1.0,short,118,11.246,31.21
zh2vi,1,1.0,medium,119,23.726,44.423
zh2vi,1,1.0,long,63,20.846,40.624
zh2vi,1,1.1,all,300,21.628,40.675
zh2vi,1,1.1,short,118,11.246,31.21
zh2vi,1,1.1,medium,119,23.726,44.423
zh2vi,1,1.1,long,63,20.846,40.624
zh2vi,1,1.2,all,300,21.628,40.675
zh2vi,1,1.2,short,118,11.246,31.21
zh2vi,1,1.2,medium,119,23.726,44.423
zh2vi,1,1.2,long,63,20.846,40.624
zh2vi,2,0.8,all,300,22.541,41.603
zh2vi,2,0.8,short,118,12.53,32.208
zh2vi,2,0.8,medium,119,25.026,45.104
zh2vi,2,0.8,long,63,21.849,41.706
zh2vi,2,0.9,all,300,22.369,41.508
zh2vi,2,0.9,short,118,12.142,32.111
zh2vi,2,0.9,medium,119,23.332,44.888
zh2vi,2,0.9,long,63,21.828,41.737
zh2vi,2,1.0,all,300,21.015,41.326
zh2vi,2,1.0,short,118,11.741,31.942
zh2vi,2,1.0,medium,119,21.758,44.683
zh2vi,2,1.0,long,63,22.018,41.584
zh2vi,2,1.1,all,300,19.515,41.111
zh2vi,2,1.1,short,118,9.303,31.34
zh2vi,2,1.1,medium,119,20.604,44.535
zh2vi,2,1.1,long,63,22.014,41.583
zh2vi,2,1.2,all,300,16.502,40.428
zh2vi,2,1.2,short,118,7.648,30.209
zh2vi,2,1.2,medium,119,17.718,43.876
zh2vi,2,1.2,long,63,21.17,41.19
zh2vi,4,0.8,all,300,22.721,41.577
zh2vi,4,0.8,short,118,13.427,32.37
zh2vi,4,0.8,medium,119,25.128,44.936
zh2vi,4,0.8,long,63,22.232,41.722
zh2vi,4,0.9,all,300,22.806,41.645
zh2vi,4,0.9,short,118,12.569,32.374
