direction,beam,length_penalty,bucket,n,bleu,chrf
zh2vi,1,0.8,all,300,12.681,37.791
zh2vi,1,0.8,short,118,2.599,24.502
zh2vi,1,0.8,medium,119,22.037,42.985
zh2vi,1,0.8,long,63,19.957,39.078
zh2vi,1,0.9,all,300,12.681,37.791
zh2vi,1,0.9,short,118,2.599,24.502
zh2vi,1,0.9,medium,119,22.037,42.985
zh2vi,1,0.9,long,63,19.957,39.078
zh2vi,1,1.0,all,300,12.681,37.791
zh2vi,1,1.0,short,118,2.599,24.502
zh2vi,1,1.0,medium,119,22.037,42.985
zh2vi,1,1.0,long,63,19.957,39.078
zh2vi,1,1.1,all,300,12.681,37.791
zh2vi,1,1.1,short,118,2.599,24.502
zh2vi,1,1.1,medium,119,22.037,42.985
zh2vi,1,1.1,long,63,19.957,39.078
zh2vi,1,1.2,all,300,12.681,37.791
zh2vi,1,1.2,short,118,2.599,24.502
zh2vi,1,1.2,medium,119,22.037,42.985
zh2vi,1,1.2,long,63,19.957,39.078
zh2vi,2,0.8,all,300,15.802,39.556
zh2vi,2,0.8,short,118,3.621,26.812
zh2vi,2,0.8,medium,119,22.881,43.971
zh2vi,2,0.8,long,63,21.309,40.736
zh2vi,2,0.9,all,300,15.769,39.579
zh2vi,2,0.9,short,118,3.597,26.76
zh2vi,2,0.9,medium,119,22.922,44.034
zh2vi,2,0.9,long,63,21.364,40.769
zh2vi,2,1.0,all,300,15.499,39.542
zh2vi,2,1.0,short,118,3.485,26.465
zh2vi,2,1.0,medium,119,22.614,44.156
zh2vi,2,1.0,long,63,21.37,40.763
zh2vi,2,1.1,all,300,14.891,39.298
zh2vi,2,1.1,short,118,3.164,25.673
zh2vi,2,1.1,medium,119,22.601,44.206
zh2vi,2,1.1,long,63,21.328,40.718
zh2vi,2,1.2,all,300,12.393,38.519
zh2vi,2,1.2,short,118,2.081,22.724
zh2vi,2,1.2,medium,119,22.561,44.256
zh2vi,2,1.2,long,63,21.777,41.115
zh2vi,4,0.8,all,300,21.655,40.784
zh2vi,4,0.8,short,118,11.119,31.871
zh2vi,4,0.8,medium,119,23.69,44.476
zh2vi,4,0.8,long,63,21.04,40.502
zh2vi,4,0.9,all,300,21.668,40.894
zh2vi,4,0.9,short,118,10.699,31.72
zh2vi,4,0.9,medium,119,23.561,44.521
zh2vi,4,0.9,long,63,21.365,40.812
zh2vi,4,1.0,all,300,20.339,40.558
zh2vi,4,1.0,short,118,8.417,30.168
zh2vi,4,1.0,medium,119,23.148,44.279
zh2vi,4,1.0,long,63,21.509,41.094
zh2vi,4,1.1,all,300,17.831,39.826
zh2vi,4,1.1,short,118,5.509,27.218
zh2vi,4,1.1,medium,119,22.93,44.287
zh2vi,4,1.1,long,63,21.568,41.235
zh2vi,4,1.2,all,300,13.376,37.555
zh2vi,4,1.2,short,118,2.809,21.198
