direction,beam,length_penalty,bucket,n,bleu,chrf
zh2vi,1,0.8,all,300,21.971,40.77
zh2vi,1,0.8,short,118,15.529,31.009
zh2vi,1,0.8,medium,119,24.748,44.14
zh2vi,1,0.8,long,63,21.417,40.999
zh2vi,1,0.9,all,300,21.971,40.77
zh2vi,1,0.9,short,118,15.529,31.009
zh2vi,1,0.9,medium,119,24.748,44.14
zh2vi,1,0.9,long,63,21.417,40.999
zh2vi,1,1.0,all,300,21.971,40.77
zh2vi,1,1.0,short,118,15.529,31.009
zh2vi,1,1.0,medium,119,24.748,44.14
zh2vi,1,1.0,long,63,21.417,40.999
zh2vi,1,1.1,all,300,21.971,40.77
zh2vi,1,1.1,short,118,15.529,31.009
zh2vi,1,1.1,medium,119,24.748,44.14
zh2vi,1,1.1,long,63,21.417,40.999
zh2vi,1,1.2,all,300,21.971,40.77
zh2vi,1,1.2,short,118,15.529,31.009
zh2vi,1,1.2,medium,119,24.748,44.14
zh2vi,1,1.2,long,63,21.417,40.999
zh2vi,2,0.8,all,300,22.69,41.417
zh2vi,2,0.8,short,118,15.529,31.571
zh2vi,2,0.8,medium,119,25.075,44.572
zh2vi,2,0.8,long,63,22.684,41.867
zh2vi,2,0.9,all,300,22.695,41.439
zh2vi,2,0.9,short,118,15.529,31.571
zh2vi,2,0.9,medium,119,25.084,44.62
zh2vi,2,0.9,long,63,22.684,41.867
zh2vi,2,1.0,all,300,22.914,41.675
zh2vi,2,1.0,short,118,15.565,31.619
zh2vi,2,1.0,medium,119,25.586,45.065
zh2vi,2,1.0,long,63,22.689,41.964
zh2vi,2,1.1,all,300,22.917,41.704
zh2vi,2,1.1,short,118,15.298,31.552
zh2vi,2,1.1,medium,119,25.595,45.073
zh2vi,2,1.1,long,63,22.77,42.047
zh2vi,2,1.2,all,300,22.982,41.805
zh2vi,2,1.2,short,118,15.296,31.543
zh2vi,2,1.2,medium,119,25.679,45.21
zh2vi,2,1.2,long,63,22.843,42.149
zh2vi,4,0.8,all,300,22.643,41.58
zh2vi,4,0.8,short,118,15.372,31.45
zh2vi,4,0.8,medium,119,25.216,44.632
zh2vi,4,0.8,long,63,22.484,42.238
zh2vi,4,0.9,all,300,22.858,41.854
zh2vi,4,0.9,short,118,15.341,31.44
zh2vi,4,0.9,medium,119,25.345,44.915
zh2vi,4,0.9,long,63,22.861,42.615
zh2vi,4,1.0,all,300,23.12,42.122
zh2vi,4,1.0,short,118,15.379,31.54
zh2vi,4,1.0,medium,119,25.68,45.312
zh2vi,4,1.0,long,63,23.125,42.82
zh2vi,4,1.1,all,300,23.167,42.009
zh2vi,4,1.1,short,118,13.043,30.664
zh2vi,4,1.1,medium,119,25.785,45.437
zh2vi,4,1.1,long,63,23.155,42.88
zh2vi,4,1.2,all,300,22.255,41.665
zh2vi,4,1.2,short,118,9.862,29.269
zh2vi,4,1.2,medium,119,25.428,45.341
zh2vi,4,1.2,long,63,23.113,42.942
zh2vi,6,0.8,all,300,22.654,41.664
zh2vi,6,0.8,short,118,16.284,32.133
zh2vi,6,0.8,medium,119,25.041,44.534
zh2vi,6,0.8,long,63,22.383,42.291
zh2vi,6,0.9,all,300,22.908,41.979
zh2vi,6,0.9,short,118,16.273,32.15
zh2vi,6,0.9,medium,119,25.271,44.938
zh2vi,6,0.9,long,63,22.748,42.622
zh2vi,6,1.0,all,300,23.223,42.254
zh2vi,6,1.0,short,118,16.284,32.246
zh2vi,6,1.0,medium,119,25.621,45.37
zh2vi,6,1.0,long,63,23.131,42.812
zh2vi,6,1.1,all,300,22.97,42.092
zh2vi,6,1.1,short,118,10.536,30.914
zh2vi,6,1.1,medium,119,25.639,45.326
zh2vi,6,1.1,long,63,23.491,43.156
zh2vi,6,1.2,all,300,19.57,41.132
zh2vi,6,1.2,short,118,6.281,27.138
zh2vi,6,1.2,medium,119,25.703,45.293
zh2vi,6,1.2,long,63,23.478,43.175
vi2zh,1,0.6,all,300,18.574,21.452
vi2zh,1,0.6,short,14,8.144,12.852
vi2zh,1,0.6,medium,72,15.285,15.494
vi2zh,1,0.6,long,214,18.925,21.982
vi2zh,1,0.8,all,300,18.574,21.452
vi2zh,1,0.8,short,14,8.144,12.852
vi2zh,1,0.8,medium,72,15.285,15.494
vi2zh,1,0.8,long,214,18.925,21.982
vi2zh,1,0.9,all,300,18.574,21.452
vi2zh,1,0.9,short,14,8.144,12.852
vi2zh,1,0.9,medium,72,15.285,15.494
vi2zh,1,0.9,long,214,18.925,21.982
vi2zh,1,1.0,all,300,18.574,21.452
vi2zh,1,1.0,short,14,8.144,12.852
vi2zh,1,1.0,medium,72,15.285,15.494
vi2zh,1,1.0,long,214,18.925,21.982
vi2zh,2,0.6,all,300,19.133,22.747
vi2zh,2,0.6,short,14,8.104,12.667
vi2zh,2,0.6,medium,72,17.758,18.004
vi2zh,2,0.6,long,214,19.317,23.203
vi2zh,2,0.8,all,300,19.233,22.807
vi2zh,2,0.8,short,14,8.104,12.667
vi2zh,2,0.8,medium,72,17.8,18.053
vi2zh,2,0.8,long,214,19.422,23.263
vi2zh,2,0.9,all,300,19.241,22.825
vi2zh,2,0.9,short,14,8.064,12.639
vi2zh,2,0.9,medium,72,17.797,18.048
vi2zh,2,0.9,long,214,19.432,23.283
vi2zh,2,1.0,all,300,19.254,22.738
vi2zh,2,1.0,short,14,8.064,12.639
vi2zh,2,1.0,medium,72,14.639,17.26
vi2zh,2,1.0,long,214,19.424,23.277
vi2zh,4,0.6,all,300,19.914,23.57
vi2zh,4,0.6,short,14,8.128,12.82
vi2zh,4,0.6,medium,72,18.039,18.645
vi2zh,4,0.6,long,214,20.137,24.038
vi2zh,4,0.8,all,300,20.145,23.687
vi2zh,4,0.8,short,14,8.088,12.784
vi2zh,4,0.8,medium,72,18.153,18.718
vi2zh,4,0.8,long,214,20.377,24.159
vi2zh,4,0.9,all,300,20.14,23.744
vi2zh,4,0.9,short,14,7.986,12.568
vi2zh,4,0.9,medium,72,18.153,18.718
vi2zh,4,0.9,long,214,20.378,24.224
vi2zh,4,1.0,all,300,20.215,23.629
vi2zh,4,1.0,short,14,7.872,12.464
vi2zh,4,1.0,medium,72,13.707,17.612
vi2zh,4,1.0,long,214,20.414,24.228
vi2zh,6,0.6,all,300,20.068,23.293
vi2zh,6,0.6,short,14,8.088,12.749
vi2zh,6,0.6,medium,72,17.994,18.576
vi2zh,6,0.6,long,214,20.311,23.746
vi2zh,6,0.8,all,300,20.304,23.421
vi2zh,6,0.8,short,14,8.088,12.749
vi2zh,6,0.8,medium,72,18.121,18.67
vi2zh,6,0.8,long,214,20.556,23.876
vi2zh,6,0.9,all,300,20.294,23.411
vi2zh,6,0.9,short,14,7.986,12.533
vi2zh,6,0.9,medium,72,18.121,18.67
vi2zh,6,0.9,long,214,20.548,23.868
vi2zh,6,1.0,all,300,20.331,23.269
vi2zh,6,1.0,short,14,7.872,12.43
vi2zh,6,1.0,medium,72,13.676,17.557
vi2zh,6,1.0,long,214,20.542,23.841
